state,agency,support_types
KS,"Jackson County Sheriff’s Office","Warrant Service Officer"
KS,"Jewell County Sheriff's Office","Warrant Service Officer"
KS,"Kansas Bureau of Investigation","Task Force Model"
KS,"Logan County Sheriff's Department","Warrant Service Officer"
KS,"Lyon County Sheriff's Office","Warrant Service Officer"
KS,"Osage County Sheriff's Office","Warrant Service Officer"
KS,"Phillips County Sheriff's Department","Warrant Service Officer"
KS,"Pottawatomie County Sheriff's Office","Warrant Service Officer"
KS,"Reno County Sheriff's office","Warrant Service Officer"
KS,"Rice County Sheriff's Office","Warrant Service Officer"
KS,"Rooks County Sheriff's Office","Warrant Service Officer"
KS,"Rush County Sheriff's Office","Warrant Service Officer"
KS,"Saline County Sheriff's Office","Warrant Service Officer"
KS,"Sedgwick County Sheriff's Office","Warrant Service Officer"
KS,"Shawnee County Sheriff's Office","Task Force Model"
KS,"Trego County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
KS,"Wabaunsee County Sheriff's Office","Warrant Service Officer"
KS,"Wathena Police Department","Task Force Model"
KY,"Bracken County Sheriff's Office","Task Force Model"
KY,"Brodhead Police Department","Task Force Model"
KY,"Bullitt County Sheriff's Office","Task Force Model"
KY,"Butler County Sheriff's Office","Task Force Model; Warrant Service Officer"
KY,"Carlisle County Sheriff's Office","Task Force Model"
KY,"Carroll County Sheriff's Office","Task Force Model; Warrant Service Officer"
KY,"Clay County Sheriff's Office","Task Force Model"
KY,"Clinton County Sheriff's Office","Task Force Model"
KY,"Daviess County Sheriff's Office","Task Force Model; Warrant Service Officer"
KY,"Falmouth Police Department","Task Force Model"
KY,"Fulton County Sheriff's Office","Task Force Model"
KY,"Gallatin County Sheriff's Office","Task Force Model"
KY,"Glasgow Police Department","Task Force Model"
KY,"Grayson County Detention Center","Jail Enforcement Model; Warrant Service Officer"
KY,"Grayson County Sheriff’s Office","Task Force Model"
KY,"Hazard Police Department","Task Force Model"
KY,"Heritage Creek Police Department","Task Force Model"
KY,"Hickman County Sheriff's Office","Task Force Model"
KY,"Hickman Police Department","Task Force Model"
KY,"Jackson County Sheriff's Office","Task Force Model"
KY,"Kenton County Sheriff's Office","Jail Enforcement Model; Warrant Service Officer"
KY,"Laurel County Sheriff's Office","Task Force Model"
KY,"Letcher County Sheriff's Office","Task Force Model"
KY,"Livingston Police Department","Task Force Model"
KY,"Lyon County Sheriff's Office","Task Force Model"
KY,"Marshall County Sheriff's Office","Task Force Model"
KY,"McCracken County Sheriff's Office","Task Force Model"
KY,"Middlesboro Police Department","Task Force Model"
KY,"Montgomery County Sheriff's Office","Task Force Model"
KY,"Oldham County Detention Center","Jail Enforcement Model; Warrant Service Officer"
KY,"Pendleton County Sheriff's Office","Task Force Model"
KY,"Rockcastle County Sheriff's Office","Jail Enforcement Model; Task Force Model"
KY,"Rowan County Sheriff's Office","Task Force Model"
KY,"Scott County Sheriff's Office","Task Force Model"
KY,"Union County Sheriff's Office","Task Force Model"
KY,"Wayne County Sheriff's Office","Task Force Model; Warrant Service Officer"
KY,"West Liberty Police Department","Task Force Model"
KY,"Winchester Police Department","Task Force Model"
LA,"Arnaudville Police Department","Task Force Model"
LA,"Beauregard Parish Sheriff's Office","Task Force Model"
LA,"Bossier Parish Sheriff's Office","Jail Enforcement Model"
LA,"Calcasieu Parish Sheriff's Office","Warrant Service Officer"
LA,"Caldwell Parish Sheriff's Office","Task Force Model"
LA,"Columbia Police Department","Task Force Model"
LA,"Grayson Police Department","Task Force Model"
LA,"Greenwood Police Department","Task Force Model"
LA,"Gretna Police Department","Task Force Model"
LA,"Gueydan Police Department","Task Force Model"
LA,"Hammond Police Department","Task Force Model; Warrant Service Officer"
LA,"Kenner Police Department","Jail Enforcement Model; Task Force Model"
LA,"LaSalle Parish Sheriff's Office","Task Force Model"
LA,"Lafayette Parish Sheriff's Office","Task Force Model; Warrant Service Officer"
LA,"Lafourche Parish Sheriff's Office","Warrant Service Officer"
LA,"Livingston Parish Sheriff's Office","Task Force Model"
LA,"Louisiana Alcohol and Tobacco Control","Task Force Model"
LA,"Louisiana Department of Public Safety & Corrections","Jail Enforcement Model; Warrant Service Officer"
LA,"Louisiana Department of Wildlife & Fisheries","Task Force Model"
LA,"Louisiana Military Department","Task Force Model"
LA,"Louisiana Office of the State Fire Marshal","Task Force Model"
LA,"Louisiana State Police Department","Task Force Model"
LA,"Morse Police Department","Task Force Model"
LA,"Olla Police Department","Task Force Model"
LA,"Ouachita Parish Sheriff's Office","Task Force Model; Warrant Service Officer"
LA,"Pearl River Police Department","Task Force Model"
LA,"Plaquemines Parish Sheriff's Office","Task Force Model; Warrant Service Officer"
LA,"Pointe Coupee Parish Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
LA,"St. Bernard Parish Sheriff's Office","Jail Enforcement Model"
LA,"St. Charles Parish Sheriff's Office","Warrant Service Officer"
LA,"Ward 5 Marshal's Office","Task Force Model"
LA,"Winn Parish Sheriff's Office","Task Force Model"
MA,"Massachusetts Department of Corrections","Jail Enforcement Model"
MD,"Garrett County Sheriff's Office","Warrant Service Officer"
MD,"Washington County Sheriff's Office","Warrant Service Officer"
MI,"Berrian County Sheriff's Office","Warrant Service Officer"
MI,"Calhoun County Sheriff's Office","Warrant Service Officer"
MI,"Crawford County Sheriff's Office","Task Force Model"
MI,"Jackson County Sheriff's Office","Warrant Service Officer"
MI,"Oakley Police Department","Task Force Model"
MI,"Roscommon County Sheriff's Office","Task Force Model"
MI,"Taylor Police Department","Task Force Model"
MI,"West Branch Police Department","Task Force Model"
MN,"Cass County Sheriff's Office","Task Force Model"
MN,"Crow Wing County Sheriff's Office","Task Force Model; Warrant Service Officer"
MN,"Freeborn County Sheriff's Office","Warrant Service Officer"
MN,"International Falls Police Department","Task Force Model"
MN,"Isle Police Department","Task Force Model"
MN,"Itasca County Sheriff's Office","Task Force Model"
MN,"Kandiyohi County Sheriff's Office","Warrant Service Officer"
MN,"Mille Lacs County Sheriff's Office","Task Force Model"
MN,"Sherburne County Sheriff's Office","Jail Enforcement Model"
MO,"Ash Grove Police Department","Task Force Model"
MO,"Ava Police Department","Task Force Model"
MO,"Bismarck Police Department","Task Force Model"
MO,"Bowling Green Police Department","Task Force Model"
MO,"Branson Police Department","Task Force Model"
MO,"Breckenridge Hills Police Department","Task Force Model"
MO,"Cabool Police Department","Task Force Model"
MO,"Callaway County Sheriff's Office","Jail Enforcement Model"
MO,"Carter County Sheriff's Office","Jail Enforcement Model; Task Force Model"
MO,"Christian County Sheriff's Office","Task Force Model; Warrant Service Officer"
MO,"Country Club Hills Police Department","Task Force Model"
MO,"Crane Police Department","Task Force Model"
MO,"Crawford County Sheriff's Office","Task Force Model"
MO,"Dallas County Sheriff's Office","Task Force Model"
MO,"Daviess County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
MO,"Dekalb County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
MO,"Dixon Police Department","Task Force Model"
MO,"Doolittle Police Department","Task Force Model"
MO,"Douglas County Sheriff's Office","Task Force Model"
MO,"Dunklin County Sheriff's Office","Task Force Model"
MO,"El Dorado Springs Police Department","Task Force Model"
MO,"Ellington Police Department","Task Force Model"
MO,"Ellisville Police Department","Task Force Model"
MO,"Elsberry Police Department","Task Force Model"
MO,"Gerald Police Department","Task Force Model"
MO,"Goodman Police Department","Task Force Model; Warrant Service Officer"
MO,"Grundy County Sheriff's Office","Task Force Model"
MO,"Hallsville Police Department","Task Force Model"
MO,"Hawk Point Police Department","Task Force Model"
MO,"Hillsdale Police Department","Task Force Model"
MO,"Houston Police Department","Task Force Model"
MO,"Humansville Police Department","Task Force Model"
MO,"Jefferson County Sheriff's Office","Task Force Model"
MO,"Lawrence County Sheriff's Office","Task Force Model"
MO,"Licking Police Department","Task Force Model"
MO,"Lincoln County Sheriff's Office","Task Force Model"
MO,"Madison County Sheriff's Office","Task Force Model"
MO,"Mansfield Police Department","Task Force Model"
MO,"Merriam Woods Police Department","Task Force Model"
MO,"Mississippi County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
MO,"Missouri Highway Patrol","Task Force Model"
MO,"Mountain Grove Police Department","Task Force Model"
MO,"New Madrid County Sheriff's Office","Task Force Model"
MO,"North County Police Cooperative","Task Force Model"
MO,"Oak Grove Village Police Department","Task Force Model"
MO,"Ozark County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
MO,"Perryville Police Department","Task Force Model"
MO,"Pettis County Sheriff's Office","Jail Enforcement Model; Task Force Model"
MO,"Phelps County Sheriff's Department","Task Force Model"
MO,"Pineville Police Department","Task Force Model"
MO,"Potosi Police Department","Task Force Model"
MO,"Pulaski County Sheriff's Office","Task Force Model; Warrant Service Officer"
MO,"Reeds Spring Police Department","Task Force Model"
MO,"Reynolds County Sheriff's Office","Task Force Model"
MO,"Ripley County Sheriff's Office","Task Force Model"
MO,"Saint Ann Police Department","Task Force Model"
MO,"Saint Charles County Police Department","Task Force Model"
MO,"Saint Francois County Sheriff's Office","Task Force Model"
MO,"Scott County Sheriff's Office","Task Force Model"
MO,"Seligman Police Department","Task Force Model"
MO,"Seymour Police Department","Task Force Model"
MO,"Southwest City Police Department","Task Force Model"
MO,"Sparta Police Department","Task Force Model"
MO,"Ste. Genevieve County Sheriff's Office","Task Force Model; Warrant Service Officer"
MO,"Ste. Genevieve Police Department","Task Force Model"
MO,"Stoddard County Sheriff's Office","Task Force Model"
MO,"Stone County Sheriff's Office","Task Force Model"
MO,"Texas County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
MO,"Walnut Grove Police Department","Task Force Model"
MO,"Washburn Police Department","Task Force Model; Warrant Service Officer"
MO,"Washington County Sheriff's Office","Task Force Model"
MO,"Wayne County Sheriff's Office","Task Force Model"
MO,"Webster County Sheriff's Office","Task Force Model"
MO,"Wheaton Police Department","Task Force Model"
MO,"Willow Springs Police Department","Task Force Model"
MO,"Winfield Police Department","Task Force Model"
MO,"Woodson Terrace Police Department","Task Force Model"
MO,"Wright County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
MS,"Carroll County Sheriff's Department","Task Force Model"
MS,"Carthage Police Department","Task Force Model"
MS,"Clay County Sheriff's Department","Task Force Model"
MS,"Grenada County Sheriff's Office","Task Force Model"
MS,"Harrison County Sheriff's Office","Jail Enforcement Model; Warrant Service Officer"
MS,"Lauderdale County Sheriff's Office","Warrant Service Officer"
MS,"Leake County Sheriff's Office","Task Force Model"
MS,"Louisville Police Department","Task Force Model"
MS,"Mississippi Attorney General's Office","Task Force Model"
MS,"Mississippi Department of Public Safety","Task Force Model"
MS,"Mississippi Office of the State Auditor","Task Force Model"
MS,"Monroe County Sheriff's Office","Jail Enforcement Model; Task Force Model"
MS,"Montgomery County Sheriff's Department","Task Force Model"
MS,"Neshoba County Sheriff's Office","Task Force Model"
MS,"Newton County Sheriff's Department","Jail Enforcement Model; Task Force Model"
MS,"Noxubee County Sheriff's Office","Task Force Model"
MS,"Panola County Sheriff's Office","Task Force Model"
MS,"Pearl Police Department","Task Force Model"
MS,"Smith County Sheriff's Office","Jail Enforcement Model; Task Force Model"
MS,"Stone County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
MS,"Sumrall Police Department","Task Force Model"
MS,"Tate County Sheriff's Office","Task Force Model; Warrant Service Officer"
MS,"Union Police Department","Task Force Model"
MS,"Wayne County Sheriff's Department","Task Force Model"
MS,"Webster County Sheriff's Office","Task Force Model"
MS,"Wiggins Police Department","Task Force Model"
MT,"Carter County Sheriff's Office","Task Force Model"
MT,"Flathead County Sheriff's Office","Warrant Service Officer"
MT,"Gallatin County Sheriff's Office","Warrant Service Officer"
MT,"Garfield County Sheriff's Office","Task Force Model"
MT,"Montana Department of Justice","Task Force Model"
MT,"Treasure County Sheriff's Office","Task Force Model"
NC,"Alamance County Sheriff's Office","Warrant Service Officer"
NC,"Albemarle District Jail","Warrant Service Officer"
NC,"Avery County Sheriff's Office","Warrant Service Officer"
NC,"Beulaville Police Department","Task Force Model"
NC,"Brookford Police Department","Task Force Model"
NC,"Brunswick County Sheriff's Office","Warrant Service Officer"
NC,"Cabarrus County Sheriff's Office","Jail Enforcement Model"
NC,"Caldwell County Sheriff's Office","Warrant Service Officer"
NC,"Carteret County Sheriff's Office","Warrant Service Officer"
NC,"Catawba County Sheriff's Office","Warrant Service Officer"
NC,"Cherokee County Sheriff's Office","Warrant Service Officer"
NC,"Cleveland County Sheriff's Office","Warrant Service Officer"
NC,"Columbus County Sheriff's Office","Task Force Model; Warrant Service Officer"
NC,"Craven County Sheriff's Office","Warrant Service Officer"
NC,"Duplin County Sheriff's Office","Warrant Service Officer"
NC,"Gaston County Sheriff's Office","Jail Enforcement Model"
NC,"Henderson County Sheriff's Office","Jail Enforcement Model"
NC,"Lincoln County Sheriff's Office","Warrant Service Officer"
NC,"Nash County Sheriff's Office","Warrant Service Officer"
NC,"Newland Police Department","Task Force Model"
NC,"Onslow County Sheriff's Office","Task Force Model; Warrant Service Officer"
NC,"Person County Sheriff's Office","Warrant Service Officer"
NC,"Randolph County Sheriff's Office","Warrant Service Officer"
NC,"Robbins Police Department","Task Force Model"
NC,"Rockingham County Sheriff's Office","Warrant Service Officer"
NC,"Union County Sheriff's Office","Warrant Service Officer"
NC,"Yancey County Sheriff's Office","Warrant Service Officer"
ND,"Bowman County Sheriff's Office","Task Force Model; Warrant Service Officer"
ND,"Burke County Sheriff's Office","Task Force Model"
ND,"Dickinson Police Department","Task Force Model"
ND,"Dunn County Sheriff's Office","Task Force Model; Warrant Service Officer"
ND,"Eddy County Sheriff's Office","Task Force Model"
ND,"McKenzie County Sheriff's Office","Task Force Model"
ND,"Mercer County Sheriff's Office","Task Force Model"
ND,"Ramsey County Sheriff's Office","Task Force Model"
ND,"Renville County Sheriff's Office","Task Force Model; Warrant Service Officer"
ND,"Williams County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
NE,"Banner County Sheriff's Office","Task Force Model"
NE,"Dakota County Sheriff's Office","Jail Enforcement Model"
NE,"Nebraska Department of Correctional Services","Jail Enforcement Model"
NE,"Nebraska State Patrol","Task Force Model"
NE,"Red Willow County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
NE,"Sioux County Sheriff's Office","Task Force Model"
NE,"Wheeler County Sheriff's Office","Task Force Model"
NH,"Auburn Police Department","Task Force Model"
NH,"Belknap County Sheriff's Office","Task Force Model"
NH,"Candia Police Department","Task Force Model"
NH,"Carroll Police Department","Task Force Model"
NH,"Chester Police Department","Task Force Model"
NH,"Colebrook Police Department","Task Force Model"
NH,"Epping Police Department","Task Force Model"
NH,"Gorham Police Department","Task Force Model"
NH,"Grafton County Sheriff's Office","Task Force Model"
NH,"Hillsborough County Sheriff's Office","Task Force Model"
NH,"New Hampshire State Police Department","Task Force Model"
NH,"Ossipee Police Department","Task Force Model"
NH,"Pittsburgh Police Department","Task Force Model"
NH,"Rockingham County Sheriff's Office","Task Force Model"
NH,"Troy Police Department","Task Force Model"
NH,"Whitefield Police Department","Task Force Model"
NM,"Curry County Sheriff's Office","Warrant Service Officer"
NM,"Torrance County Sheriff's Office","Warrant Service Officer"
NORTHERN MARIANA ISLANDS,"CNMI Department of Corrections","Jail Enforcement Model"
NORTHERN MARIANA ISLANDS,"CNMI Department of Public Safety","Task Force Model"
NV,"Douglas County Sheriff's Office","Warrant Service Officer"
NV,"Las Vegas Metropolitan Police Department","Warrant Service Officer"
NV,"Lyon County Sheriff's Office","Jail Enforcement Model; Warrant Service Officer"
NV,"Mineral County Sheriff's Office","Warrant Service Officer"
NY,"Allegany Village Police Department","Task Force Model"
NY,"Broome County Sheriff's Office","Warrant Service Officer"
NY,"Camden Police Department","Task Force Model"
NY,"Cattaraugus County Sheriff's Office","Task Force Model"
NY,"Madison County Sheriff's Office","Warrant Service Officer"
NY,"Mohawk Village Police Department","Task Force Model"
NY,"Nassau County Police Department","Task Force Model"
NY,"Nassau County Sheriff's Office","Warrant Service Officer"
NY,"Niagara County Sheriff's Office","Task Force Model; Warrant Service Officer"
NY,"Otsego County Sheriff's Office","Warrant Service Officer"
NY,"Rensselaer County Sheriff's Office","Jail Enforcement Model"
NY,"Steuben County Sheriff's Office","Task Force Model; Warrant Service Officer"
OH,"Aberdeen Police Department","Task Force Model"
OH,"Butler County Sheriff's Office","Jail Enforcement Model; Task Force Model"
OH,"Clermont County Sheriff's Office","Task Force Model"
OH,"Dalton Police Department","Task Force Model"
OH,"Fayette County Sheriff's Office","Warrant Service Officer"
OH,"Fayetteville Police Department","Task Force Model"
OH,"Gratis Police Department","Task Force Model"
OH,"Jamestown Police Department","Task Force Model"
OH,"Lake County Sheriff's Office","Task Force Model; Warrant Service Officer"
OH,"Peebles Police Department","Task Force Model"
OH,"Pleasantville Police Department","Task Force Model"
OH,"Portage County Sheriff's Office","Task Force Model; Warrant Service Officer"
OH,"Russellville Police Department","Task Force Model"
OH,"Sardinia Police Department","Task Force Model"
OH,"Seneca County Sheriff's Office","Task Force Model; Warrant Service Officer"
OH,"Spencer Police Department","Task Force Model"
OH,"Warren County Sheriff's Office","Task Force Model"
OK,"Achille Police Department","Task Force Model"
OK,"Afton Police Department","Task Force Model"
OK,"Atoka County Sheriff's Office","Task Force Model"
OK,"Barnsdall Police Department","Task Force Model"
OK,"Beggs Police Department","Task Force Model"
OK,"Bennington Police Department","Task Force Model"
OK,"Bixby Police Department","Task Force Model"
OK,"Blaine County Sheriff's Office","Task Force Model; Warrant Service Officer"
OK,"Boise City Police Department","Task Force Model"
OK,"Bokchito Police Department","Task Force Model"
OK,"Caddo Police Department","Task Force Model"
OK,"Canadian County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
OK,"Checotah Police Department","Task Force Model"
OK,"Chelsea Police Department","Task Force Model"
OK,"Cimarron County Sheriff's Office","Task Force Model"
OK,"Colbert Police Department","Task Force Model"
OK,"Collinsville Police Department","Task Force Model"
OK,"Craig County Sheriff's Office","Task Force Model"
OK,"Creek County Sheriff's Office","Task Force Model"
OK,"Custer County Sheriff's Office","Task Force Model"
OK,"Geary Police Department","Task Force Model"
OK,"Grady County Sheriff's Office","Task Force Model"
OK,"Haskell County Sheriff's Office","Task Force Model"
OK,"Hobart Police Department","Task Force Model"
OK,"Johnston County Sheriff's Office","Task Force Model"
OK,"Kiefer Police Department","Task Force Model"
OK,"Lincoln County Sheriff's Office","Task Force Model; Warrant Service Officer"
OK,"Logan County Sheriff's Office","Jail Enforcement Model"
OK,"Major County Sheriff's Department","Task Force Model"
OK,"McIntosh County Sheriff's Office","Task Force Model"
OK,"Minco Police Department","Task Force Model"
OK,"Mounds Police Department","Task Force Model"
OK,"Muskogee County Sheriff's Office","Warrant Service Officer"
OK,"Noble County Sheriff's Office","Task Force Model"
OK,"Nowata Police Department","Task Force Model"
OK,"Office of The District Attorney - Eighth District","Task Force Model"
OK,"Okfusfee County Sheriff's Office","Task Force Model"
OK,"Oklahoma Bureau of Investigation","Task Force Model"
OK,"Oklahoma Bureau of Narcotics","Task Force Model"
OK,"Oklahoma Department of Corrections","Jail Enforcement Model; Warrant Service Officer"
OK,"Oklahoma Department of Public Safety","Task Force Model"
OK,"Okmulgee County Criminal Justice Authority","Warrant Service Officer"
OK,"Okmulgee County District Attorney's Office","Task Force Model"
OK,"Okmulgee County Sheriff's Office","Task Force Model"
OK,"Ottawa County Sheriff's Office","Task Force Model"
OK,"Porum Police Department","Task Force Model"
OK,"Roland Police Department","Task Force Model"
OK,"Sequoyah County Sheriff's Office","Task Force Model"
OK,"Sterling Police Department","Task Force Model"
OK,"Stratford Police Department","Task Force Model"
OK,"Stringtown Police Department","Task Force Model"
OK,"Talala Police Department","Task Force Model"
OK,"Texas County Sheriff's Office","Task Force Model; Warrant Service Officer"
OK,"Tulsa County Sheriff's Office","Jail Enforcement Model"
OK,"Tushka Police Department","Task Force Model"
OK,"Vinita Police Department","Task Force Model"
OK,"Washita County Sheriff's Office","Task Force Model"
OK,"Weatherford Police Department","Task Force Model"
PA,"Addison Borough Constable's Office","Task Force Model"
PA,"Beaver County Sheriff's Office","Task Force Model"
PA,"Benton Borough Police Department","Task Force Model"
PA,"Bessemer Borough Police Department","Task Force Model"
PA,"Bradford County Sheriff's Office","Warrant Service Officer"
PA,"Bradford Police Department","Task Force Model"
PA,"Butler County Sheriff's Office","Task Force Model"
PA,"Butler Township Police Department","Task Force Model"
PA,"Cambria County Prison","Warrant Service Officer"
PA,"Carroll Township Police Department","Task Force Model"
PA,"Center Township Police Department","Task Force Model"
PA,"Chippewa Township Police Department","Task Force Model"
PA,"Constable Unity Township","Task Force Model"
PA,"Coolspring Township Constable's Office","Task Force Model"
PA,"Cornwall Borough Police Department","Task Force Model"
PA,"County of Franklin / Franklin County Jail","Warrant Service Officer"
PA,"Damascus Township Constable","Task Force Model"
PA,"East Donegal Township Constables Office","Task Force Model"
PA,"East Franklin Township Police Department","Task Force Model"
PA,"East Pennsylvania Township Constable Office","Task Force Model"
PA,"Fannett Township Constables Office","Task Force Model"
PA,"Frackville Borough Police Department","Task Force Model"
PA,"Franklin County Sheriffs Office","Task Force Model"
PA,"Franklin Township Police Department","Task Force Model"
PA,"Gaines Township PA State Constable","Task Force Model"
PA,"Greene Township Constable's Office","Task Force Model"
PA,"Greene Washington Regional Police Department","Task Force Model"
PA,"Hazleton Police Department","Task Force Model"
PA,"Hellam Township Police Department","Task Force Model"
PA,"Hughesville Borough Police Department","Task Force Model"
PA,"Juniata County Sheriff's Office","Task Force Model"
PA,"Kittanning Borough Police Department","Task Force Model"
PA,"Kline Township Police Department","Task Force Model"
PA,"Lancaster County District Attorney's Office","Task Force Model"
PA,"Lancaster County Sheriff's Office","Task Force Model"
PA,"Lansdowne Borough Constable's Office","Task Force Model"
PA,"Lebanon County District Attorney's Office","Task Force Model"
PA,"Lebanon County Regional Police Department","Task Force Model"
PA,"Lebanon County Sheriff's Office","Task Force Model"
PA,"Lewistown Borough Constable's Office","Task Force Model"
PA,"Locust Township Police Department","Task Force Model"
PA,"Lower Burrell Fourth Ward Constable","Task Force Model"
PA,"Luzerne County District Attorney's Office","Task Force Model"
PA,"Mahanoy City Borough Police Department","Task Force Model"
PA,"Mahanoy Township Police Department","Task Force Model"
PA,"Mahoning TWP Police Department - Montour","Task Force Model"
PA,"Mahoning Township Police Department","Task Force Model"
PA,"Manheim Borough Police Department","Task Force Model"
PA,"Manor Township Police Department","Task Force Model"
PA,"Milford Borough Police Department","Task Force Model"
PA,"Montour County Sheriff's Office","Task Force Model"
PA,"Montoursville Borough Police Department","Task Force Model"
PA,"Mount Carmel Township Police Department","Task Force Model"
PA,"Mount Holly Springs Borough Police Department","Task Force Model"
PA,"Muncy Borough Police Department","Task Force Model"
PA,"New Sewickley Township Police Department","Task Force Model"
PA,"Northern York County Regional Police Department","Task Force Model"
PA,"Northwest Regional Police Department","Task Force Model"
PA,"Orange Township Police Department","Task Force Model"
PA,"Orwigsburg Borough Police Department","Task Force Model"
PA,"Pennsylvania State Constable Office Honey Brook Precinct 1","Task Force Model"
PA,"Pennsylvania State Constable's Office So Middleton Twp","Task Force Model"
PA,"Pennsylvania State Constable's Office, Cooke Township","Task Force Model"
PA,"Preston Township Constable's Office","Task Force Model"
PA,"Raccoon Township Police Department","Task Force Model"
PA,"Reynoldsville Borough Police Department","Task Force Model"
PA,"Salem Township Police Department","Task Force Model"
PA,"Sayre Borough Police Department","Task Force Model"
PA,"Schuylkill County Sheriff's Office","Task Force Model"
PA,"Schuylkill Haven Borough Police Department","Task Force Model"
PA,"Sewickley Township Constable's Office","Task Force Model"
PA,"Shamokin City Police Department","Task Force Model"
PA,"Shenandoah Borough Police Department","Task Force Model"
PA,"Shohola Township Constable's Office","Task Force Model"
PA,"Somerset County District Attorney's Office","Task Force Model"
PA,"South Lebanon Township Police Department","Task Force Model"
PA,"South Londonderry Township Police Department","Task Force Model"
PA,"Southhampton Twp. Cumberland City, Constables Office","Task Force Model"
PA,"Springdale Borough Police Department","Task Force Model"
PA,"Stowe Township Police Department","Task Force Model"
PA,"Susquehanna Regional Police Department","Task Force Model"
PA,"Troy Township PA State Constable","Task Force Model"
PA,"Union Township Police Department","Task Force Model"
PA,"Washington County Sheriff's Office","Task Force Model"
PA,"West Hazleton Borough Police Department","Task Force Model"
PA,"West York Borough Police Department","Task Force Model"
PA,"Westmoreland County Sheriff's Office","Jail Enforcement Model"
PA,"Wyoming County District Attorney's Office","Task Force Model"
PA,"York County Regional Police Department","Task Force Model"
SC,"Anderson County Sheriff's Office","Warrant Service Officer"
SC,"Batesburg-Leesville Police Department","Task Force Model"
SC,"Beaufort County Sheriff's Office","Task Force Model"
SC,"Berkeley County Sheriff's Office","Task Force Model; Warrant Service Officer"
SC,"Bowman Police Department","Task Force Model"
SC,"Charleston County Sheriff's Office","Warrant Service Officer"
SC,"Chester County Sheriff's Office","Task Force Model; Warrant Service Officer"
SC,"Clinton Police Department","Task Force Model"
SC,"Coward Police Department","Task Force Model"
SC,"Dorchester County Sheriff's Office","Warrant Service Officer"
SC,"Duncan Police Department","Task Force Model"
SC,"Elloree Police Department","Task Force Model"
SC,"Eutawville Police Department","Task Force Model"
SC,"Gaston Police Department","Task Force Model"
SC,"Georgetown County Sheriff's Office","Task Force Model; Warrant Service Officer"
SC,"Greenville County Sheriff's Office","Warrant Service Officer"
SC,"Harleyville Police Department","Task Force Model"
SC,"Holly Hill Police Department","Task Force Model"
SC,"Horry County Sheriff's Office","Jail Enforcement Model"
SC,"Jamestown Police Department","Task Force Model"
SC,"Jasper County Sheriff's Office","Task Force Model"
SC,"Kershaw County Sheriff's Office","Task Force Model"
SC,"Lancaster County Sheriff's Office","Warrant Service Officer"
SC,"Lexington County Sheriff's Department","Jail Enforcement Model"
SC,"McCormick County Sheriff's Office","Warrant Service Officer"
SC,"Newberry County Sheriff's Office","Warrant Service Officer"
SC,"North Police Department","Task Force Model"
SC,"Oconee County Sheriff's Office","Warrant Service Officer"
SC,"Olanta Police Department","Task Force Model"
SC,"Pelion Police Department","Task Force Model"
SC,"Perry Police Department","Task Force Model"
SC,"Pickens County Sheriff's Office","Task Force Model; Warrant Service Officer"
SC,"Pine Ridge Police Department","Task Force Model"
SC,"Ridge Spring Police Department","Task Force Model"
SC,"Ridgeway Police Department","Task Force Model"
SC,"Salley Police Department","Task Force Model"
SC,"Santee Police Department","Task Force Model"
SC,"Scranton Police Department","Task Force Model"
SC,"South Carolina Department of Public Safety","Task Force Model"
SC,"South Carolina Law Enforcement Division","Task Force Model"
SC,"Spartanburg County Sheriff's Office","Warrant Service Officer"
SC,"Union County Sheriff's Office","Task Force Model; Warrant Service Officer"
SC,"York County Sheriff's Office","Jail Enforcement Model"
SD,"Centerville Police Department","Task Force Model"
SD,"Hughes County Sheriff's Office","Warrant Service Officer"
SD,"Minnehaha County Sheriff's Office","Warrant Service Officer"
SD,"South Dakota Department of Corrections","Jail Enforcement Model; Warrant Service Officer"
SD,"South Dakota Division of Criminal Investigation","Task Force Model"
SD,"South Dakota Highway Patrol","Task Force Model"
SD,"Viborg Police Department","Task Force Model"
TN,"Bedford County Sheriff's Office","Warrant Service Officer"
TN,"Bradley County Constable District 1","Task Force Model"
TN,"Bradley County Constable District 6","Task Force Model"
TN,"Bradley County Constable District 7","Task Force Model"
TN,"Bradley County Sheriff's Office","Jail Enforcement Model; Warrant Service Officer"
TN,"Carter County Sheriff's Office","Warrant Service Officer"
TN,"Clay County Sheriff's Office","Warrant Service Officer"
TN,"Cocke County Sheriff's Office","Warrant Service Officer"
TN,"Coffee County Sheriff's Office","Warrant Service Officer"
