state,agency,support_types
AZ,"Arizona Department of Corrections","Jail Enforcement Model"
AZ,"Cochise County Sheriff's Office","Warrant Service Officer"
AZ,"La Paz County Sheriff's Office","Jail Enforcement Model; Warrant Service Officer"
AZ,"Mesa Police Department","Jail Enforcement Model"
AZ,"Navajo County Sheriff's Office","Warrant Service Officer"
AZ,"Pinal County Attorney's Office","Task Force Model"
AZ,"Pinal County Sheriff's Office","Jail Enforcement Model"
AZ,"Yavapai County Sheriff's Office","Jail Enforcement Model"
AZ,"Yuma County Sheriff's Office","Warrant Service Officer"
CO,"Teller County Sheriff's Office","Jail Enforcement Model"
FL,"Alachua County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Alachua Police Department","Task Force Model"
FL,"Altamonte Springs Police Department","Task Force Model"
FL,"Apopka Police Department","Task Force Model"
FL,"Arcadia Police Department","Task Force Model"
FL,"Atlantic Beach Police Department","Task Force Model"
FL,"Atlantis Police Department","Task Force Model"
FL,"Auburndale Police Department","Task Force Model"
FL,"Baker County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Bartow Police Department","Task Force Model"
FL,"Bay County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Belle Isle Police Department","Task Force Model"
FL,"Belleair Police Department","Task Force Model"
FL,"Blountstown Police Department","Task Force Model"
FL,"Boca Raton Police Services Department","Task Force Model"
FL,"Boynton Beach Police Department","Task Force Model"
FL,"Bradenton Police Department","Task Force Model"
FL,"Bradford County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Brevard County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Broward County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Bunnell Police Department","Task Force Model"
FL,"Calhoun County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Cape Coral Police Department","Task Force Model"
FL,"Casselberry Police Department","Task Force Model"
FL,"Charlotte County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Chattahoochee Police Department","Task Force Model"
FL,"Citrus County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"City of Miami Police Department","Task Force Model"
FL,"Clay County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
FL,"Clearwater Police Department","Task Force Model"
FL,"Clermont Police Department","Task Force Model"
FL,"Clewiston Police Department","Task Force Model"
FL,"Cocoa Beach Police Department","Task Force Model"
FL,"Cocoa Police Department","Task Force Model"
FL,"Coconut Creek Police Department","Task Force Model"
FL,"Collier County Sheriff's Office","Jail Enforcement Model; Task Force Model"
FL,"Columbia County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Coral Gables Police Department","Task Force Model"
FL,"Cross City Police Department","Task Force Model"
FL,"Dade City Police Department","Task Force Model"
FL,"Davenport Police Department","Task Force Model"
FL,"Davie Police Department","Task Force Model"
FL,"Daytona Beach Police Department","Task Force Model"
FL,"Daytona Beach Shores Public Safety","Task Force Model"
FL,"DeSoto County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Deland Police Department","Task Force Model"
FL,"Delray Beach Police Department","Task Force Model"
FL,"District Board of Trustees of Pensacola State College","Task Force Model"
FL,"Dixie County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Doral Police Department","Task Force Model"
FL,"Eatonville Police Department","Task Force Model"
FL,"Edgewater Police Department","Task Force Model"
FL,"Edgewood Police Department","Task Force Model"
FL,"Escambia County Board of County Commissioners/ Department of Corrections","Warrant Service Officer"
FL,"Escambia County Sheriff's Office","Task Force Model"
FL,"Eustis Police Department","Task Force Model"
FL,"Fellsmere Police Department","Task Force Model"
FL,"Flagler Beach Police Department","Task Force Model"
FL,"Flagler County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Florida A&M University Board of Trustees","Task Force Model"
FL,"Florida Atlantic Police Department","Task Force Model"
FL,"Florida Department of Corrections","Jail Enforcement Model"
FL,"Florida Department of Environmental Protection, Division of Law Enforcement","Task Force Model"
FL,"Florida Department of Financial Services, Criminal Investigation Division","Task Force Model"
FL,"Florida Department of Highway Safety and Motor Vehicles, Division of Highway Patrol","Task Force Model"
FL,"Florida Department of Law Enforcement","Task Force Model"
FL,"Florida Department of Lottery Services","Task Force Model"
FL,"Florida Division of Alcoholic Beverages and Tobacco","Task Force Model"
FL,"Florida Fish & Wildlife Conservation Commission","Task Force Model"
FL,"Florida Gaming Control Commission","Task Force Model"
FL,"Florida Gulf Coast University Police Department","Task Force Model"
FL,"Florida International University Police Department","Task Force Model"
FL,"Florida National Guard","Task Force Model"
FL,"Florida Polytechnic University Police Department","Task Force Model"
FL,"Florida Southwestern State College Police Department","Task Force Model"
FL,"Florida State College at Jacksonville Police Department","Task Force Model"
FL,"Florida State Guard","Task Force Model"
FL,"Florida State University Police Department","Task Force Model"
FL,"Fort Myers Police Department","Task Force Model"
FL,"Fort Walton Beach Police Department","Task Force Model"
