original_org_name,normalized_org_name,state,networks_im_sharing
Escambia County FL SO,escambia county fl,fl,South Portland ME PD
Scarborough ME PD,scarborough me,me,"South Portland ME PD,South Portland ME PD (Flex)"
Summit IL PD,summit il,il,South Portland ME PD
Scarsdale Village NY PD,scarsdale village ny,ny,South Portland ME PD
Auburn WA PD,auburn wa,wa,South Portland ME PD
Holbrook MA PD,holbrook ma,ma,South Portland ME PD
Sterling Heights MI PD,sterling heights mi,mi,South Portland ME PD
Lake Geneva WI PD,lake geneva wi,wi,South Portland ME PD
Lynn MA PD,lynn ma,ma,South Portland ME PD
Waltham MA PD,waltham ma,ma,South Portland ME PD
St. Charles City MO PD,st charles city mo,mo,South Portland ME PD
Idaho State Police ID,idaho state,id,South Portland ME PD
Paris TX PD,paris tx,tx,South Portland ME PD
Whitewater WI PD,whitewater wi,wi,South Portland ME PD
Woonsocket RI PD,woonsocket ri,ri,South Portland ME PD
South Whitehall PA PD,south whitehall pa,pa,South Portland ME PD
Washington County OH SO,washington county oh,wa,South Portland ME PD
Lancaster County SC SO,lancaster county sc,sc,South Portland ME PD
Harrison County IN SO,harrison county in,in,South Portland ME PD
Sun Valley PD ID,sun valley,id,South Portland ME PD
Pitt County NC SO,pitt county nc,nc,South Portland ME PD
Glendale OH PD,glendale oh,oh,South Portland ME PD
Adairville KY PD,adairville ky,ky,South Portland ME PD
Pocono Township (Monroe County) PA PD,pocono township monroe county pa,pa,South Portland ME PD
Windsor- IL- PD,windsor il,il,South Portland ME PD
Bryan County GA SO,bryan county ga,ga,South Portland ME PD
Del City OK PD,del city ok,ok,South Portland ME PD
Canton Village NY PD,canton village ny,ny,South Portland ME PD
Lee County GA SO,lee county ga,ga,South Portland ME PD
Swainsboro GA PD,swainsboro ga,ga,South Portland ME PD
Shelby County KY SO,shelby county ky,ky,South Portland ME PD
Harris County TX SO,harris county tx,tx,South Portland ME PD
Alcoa TN PD,alcoa tn,tn,South Portland ME PD
Carroll County GA SO,carroll county ga,ga,South Portland ME PD
OH - Butler County SO,oh butler county,oh,South Portland ME PD
Melrose MA PD,melrose ma,ma,South Portland ME PD
Huntington County IN SO,huntington county in,in,South Portland ME PD
Woodhaven MI PD,woodhaven mi,mi,South Portland ME PD
Kendall County TX SO,kendall county tx,tx,South Portland ME PD
Lincoln County SO NE,lincoln county,ne,South Portland ME PD
Knox County IL SO,knox county il,il,South Portland ME PD
Othello WA PD,othello wa,wa,South Portland ME PD
Orting WA PD,orting wa,wa,South Portland ME PD
Metropolitan Washington Airports Authority VA,metropolitan washington airports,wa,South Portland ME PD
Herrin IL PD,herrin il,il,South Portland ME PD
Juab County UT SO,juab county ut,ut,South Portland ME PD
Cartersville GA PD,cartersville ga,ga,South Portland ME PD
Clinton CT PD,clinton ct,ct,South Portland ME PD
Elkton MD PD,elkton md,md,South Portland ME PD
Longport NJ PD,longport nj,nj,South Portland ME PD
Morgan County AL SO,morgan county al,al,South Portland ME PD
OH- Springfield Township PD (Hamilton Co),oh springfield township pd hamilton co,oh,South Portland ME PD
Vernon Parish LA SO,vernon parish la,la,South Portland ME PD
Wichita Falls TX PD,wichita falls tx,tx,South Portland ME PD
Georgia Dept. of Corrections Intelligence Unit (GA),georgia dept of corrections intelligence unit ga,ga,South Portland ME PD
Pembroke Pines FL PD,pembroke pines fl,fl,South Portland ME PD
Redding CT PD,redding ct,ct,South Portland ME PD
Prince William County VA PD,prince william county va,va,South Portland ME PD
O'Fallon MO PD,ofallon mo,mo,South Portland ME PD
Bellingham MA PD,bellingham ma,ma,South Portland ME PD
Lavon TX PD,lavon tx,tx,South Portland ME PD
Sullivan County NY SO,sullivan county ny,ny,South Portland ME PD
Sauk Village IL PD,sauk village il,il,South Portland ME PD
Dickson TN PD,dickson tn,tn,South Portland ME PD
Struthers OH PD,struthers oh,oh,South Portland ME PD
Erwin NC PD,erwin nc,nc,South Portland ME PD
North Ridgeville OH PD,north ridgeville oh,oh,South Portland ME PD
Adrian MI PD,adrian mi,mi,South Portland ME PD
Selma NC PD,selma nc,nc,South Portland ME PD
Greenville County SC SO,greenville county sc,sc,South Portland ME PD
Rapides Parish LA SO,rapides parish la,la,South Portland ME PD
Medway MA PD,medway ma,ma,South Portland ME PD
Jefferson County MO SO,jefferson county mo,mo,South Portland ME PD
Acworth GA PD,acworth ga,ga,South Portland ME PD
Milford CT PD,milford ct,ct,South Portland ME PD
Logan Township PA PD,logan township pa,pa,South Portland ME PD
Kill Devil Hills NC PD,kill devil hills nc,nc,South Portland ME PD
Hudson NH PD,hudson nh,nh,South Portland ME PD
Wilmington MA PD,wilmington ma,ma,South Portland ME PD
Alvin TX PD,alvin tx,tx,South Portland ME PD
Newport RI PD,newport ri,ri,South Portland ME PD
Round Rock TX PD,round rock tx,tx,South Portland ME PD
