original_org_name,normalized_org_name,state,networks_im_sharing
Vermillion County IN SO,vermillion county in,in,South Portland ME PD
Kingston TN PD,kingston tn,tn,South Portland ME PD
Albany County NY SO,albany county ny,ny,South Portland ME PD
Niagara Frontier Transit Authority (NFTA) PD,niagara frontier transit authority nfta,,South Portland ME PD
Kingston Township PA PD (Luzerne County),kingston township pa pd luzerne county,pa,South Portland ME PD
North Brunswick NJ PD,north brunswick nj,nj,South Portland ME PD
Amherst Town NY PD,amherst town ny,ny,South Portland ME PD
Monroe MI PD,monroe mi,mi,South Portland ME PD
Smithfield RI PD,smithfield ri,ri,South Portland ME PD
Hillsborough County NH SO,hillsborough county nh,nh,South Portland ME PD
Cape Elizabeth ME PD,cape elizabeth me,me,"South Portland ME PD,South Portland ME PD (Flex)"
Massachusetts State MA PD,massachusetts state ma,ma,South Portland ME PD
Lackawanna County PA SO,lackawanna county pa,pa,South Portland ME PD
Portsmouth NH PD,portsmouth nh,nh,"South Portland ME PD,South Portland ME PD (Flex)"
Cranbury NJ PD,cranbury nj,nj,South Portland ME PD
Lakeville MA PD,lakeville ma,ma,South Portland ME PD
Bordentown TWP NJ PD,bordentown twp nj,nj,South Portland ME PD
Montgomery MA PD,montgomery ma,ma,South Portland ME PD
East Hempfield Twp PA PD,east hempfield twp pa,pa,South Portland ME PD
Cheltenham Twp PA PD,cheltenham twp pa,pa,South Portland ME PD
Woodbury NJ PD,woodbury nj,nj,South Portland ME PD
Montgomery Township PA PD,montgomery township pa,pa,South Portland ME PD
Middletown DE PD,middletown de,de,South Portland ME PD
Wixom MI PD,wixom mi,mi,South Portland ME PD
Gastonia NC PD,gastonia nc,nc,South Portland ME PD
Bedford VA PD,bedford va,va,South Portland ME PD
McKinney TX PD,mckinney tx,tx,South Portland ME PD
Apex NC PD,apex nc,nc,South Portland ME PD
Mountain City TN PD,mountain city tn,tn,South Portland ME PD
Glastonbury CT PD,glastonbury ct,ct,South Portland ME PD
Loudoun County VA SO,loudoun county va,va,South Portland ME PD
Tompkins County NY Sheriff's Office,tompkins county ny,ny,South Portland ME PD
New Hampshire State Police,new hampshire state,nh,South Portland ME PD
Nashua NH PD,nashua nh,nh,South Portland ME PD
NESPIN - New England State Police Information Network,nespin new england state police information,,South Portland ME PD
Jackson County MS SO,jackson county ms,ms,South Portland ME PD
Holyoke MA PD,holyoke ma,ma,South Portland ME PD
Marlborough MA PD,marlborough ma,ma,South Portland ME PD
Middletown Township PA PD,middletown township pa,pa,South Portland ME PD
Washington County MD SO,washington county md,wa,South Portland ME PD
Clark NJ PD,clark nj,nj,South Portland ME PD
Lonoke County AR SO,lonoke county ar,ar,South Portland ME PD
Wayne County TN SO,wayne county tn,tn,South Portland ME PD
Kansas Highway Patrol,kansas highway patrol,ks,South Portland ME PD
Hamilton County OH SO,hamilton county oh,oh,South Portland ME PD
Woodstock VA PD,woodstock va,va,South Portland ME PD
Montgomery County TN SO,montgomery county tn,tn,South Portland ME PD
Greene County IN SO,greene county in,in,South Portland ME PD
Kenosha WI PD,kenosha wi,wi,South Portland ME PD
Richmond Heights MO PD,richmond heights mo,mo,South Portland ME PD
Macon County NC SO,macon county nc,nc,South Portland ME PD
Grand Chute WI PD,grand chute wi,wi,South Portland ME PD
Vandalia OH PD,vandalia oh,oh,South Portland ME PD
Spotsylvania County VA SO,spotsylvania county va,va,South Portland ME PD
New Castle PA PD,new castle pa,pa,South Portland ME PD
Luzerne County PA DA's Office,luzerne county pa das,pa,South Portland ME PD
Monroe CT PD,monroe ct,ct,South Portland ME PD
Ottawa County MI SO,ottawa county mi,mi,South Portland ME PD
Stevens Point WI PD,stevens point wi,wi,South Portland ME PD
Newton County MS SO,newton county ms,ms,South Portland ME PD
Seymour IN PD,seymour in,in,South Portland ME PD
Urbana OH PD,urbana oh,oh,South Portland ME PD
Norwell MA PD,norwell ma,ma,South Portland ME PD
Sioux City IA PD,sioux city ia,ia,South Portland ME PD
Louisville Metro KY PD,louisville metro ky,ky,South Portland ME PD
Dodge County GA SO,dodge county ga,ga,South Portland ME PD
Village of Clearview WV PD,village of clearview wv,wv,South Portland ME PD
Lebanon TN PD,lebanon tn,tn,South Portland ME PD
Oxford MS PD,oxford ms,ms,South Portland ME PD
Thornton CO PD,thornton co,co,South Portland ME PD
Murfreesboro TN PD,murfreesboro tn,tn,South Portland ME PD
Winterville NC PD,winterville nc,nc,South Portland ME PD
Richland County SC SO,richland county sc,sc,South Portland ME PD
Mauldin SC PD,mauldin sc,sc,South Portland ME PD
Susquehanna Township PA PD,susquehanna township pa,pa,South Portland ME PD
West Springfield MA PD,west springfield ma,ma,South Portland ME PD
Roanoke VA PD,roanoke va,va,South Portland ME PD
Harvey County KS SO,harvey county ks,ks,South Portland ME PD
Forrest County MS SO,forrest county ms,ms,South Portland ME PD
Norwood OH PD,norwood oh,oh,South Portland ME PD
Macon County MO SO,macon county mo,mo,South Portland ME PD
Cranston RI PD,cranston ri,ri,South Portland ME PD
Cedartown GA PD,cedartown ga,ga,South Portland ME PD
New Britain Township PA PD,new britain township pa,pa,South Portland ME PD
Essex County MA SO,essex county ma,ma,South Portland ME PD
Warminster Township PA PD,warminster township pa,pa,South Portland ME PD
MAGLOCLEN RISS,magloclen riss,,South Portland ME PD
Cumru PA PD,cumru pa,pa,South Portland ME PD
Seward County NE SO,seward county ne,ne,South Portland ME PD
Ohio County SO WV,ohio county,oh,South Portland ME PD
Mequon WI PD,mequon wi,wi,South Portland ME PD
Waterville OH PD,waterville oh,oh,South Portland ME PD
University of South Florida FL PD,university of south florida fl,fl,South Portland ME PD
NE - Colfax Co SO,ne colfax co,ne,South Portland ME PD
Oxford AL PD,oxford al,al,South Portland ME PD
Morrow GA PD,morrow ga,ga,South Portland ME PD
Glasgow KY PD,glasgow ky,ky,South Portland ME PD
Harper County KS SO,harper county ks,ks,South Portland ME PD
Pinellas County FL SO,pinellas county fl,fl,South Portland ME PD
CO - Rangely PD,co rangely,co,South Portland ME PD
Iredell County NC SO,iredell county nc,nc,South Portland ME PD
Nebraska State Patrol,nebraska state patrol,ne,South Portland ME PD
Stow MA PD,stow ma,ma,South Portland ME PD
Utah County UT SO - Vineyard PD,utah county ut so vineyard,ut,South Portland ME PD
Pine Hill AL PD,pine hill al,al,South Portland ME PD
Houston Arson Bureau TX,houston arson,tx,South Portland ME PD
Sachse TX PD,sachse tx,tx,South Portland ME PD
Lexington NE PD,lexington ne,ne,South Portland ME PD
Ingalls IN PD,ingalls in,in,South Portland ME PD
Union County GA SO,union county ga,ga,South Portland ME PD
Fairfax OH PD,fairfax oh,oh,South Portland ME PD
Georgetown SC PD,georgetown sc,sc,South Portland ME PD
Blackshear GA PD,blackshear ga,ga,South Portland ME PD
OK - Washita County SO,ok washita county,ok,South Portland ME PD
Fort Wayne IN PD,fort wayne in,in,South Portland ME PD
Ada County ID SO,ada county id,id,South Portland ME PD
Chaffee County CO SO,chaffee county co,co,South Portland ME PD
Granbury TX PD,granbury tx,tx,South Portland ME PD
Morehead KY PD,morehead ky,ky,South Portland ME PD
Cole County MO SO,cole county mo,mo,South Portland ME PD
Kingston MA PD,kingston ma,ma,South Portland ME PD
New Windsor Town NY PD,new windsor town ny,ny,South Portland ME PD
Upper Allen Township PA PD,upper allen township pa,pa,South Portland ME PD
Vienna VA PD,vienna va,va,South Portland ME PD
Kennesaw GA PD,kennesaw ga,ga,South Portland ME PD
Randolph MA PD,randolph ma,ma,South Portland ME PD
Silver Spring Township PA PD,silver spring township pa,pa,South Portland ME PD
Tipp City OH PD,tipp city oh,oh,South Portland ME PD
Tewksbury MA PD,tewksbury ma,ma,South Portland ME PD
Sugar Notch Borough PA PD,sugar notch borough pa,pa,South Portland ME PD
Athens Township PA PD,athens township pa,pa,South Portland ME PD
Framingham MA PD,framingham ma,ma,South Portland ME PD
Wells ME PD,wells me,me,South Portland ME PD (Flex)
