sppd_norm_name,ice_agency,ice_state,support_types,confidence,match_method,duplicate_flag,shared_network
greenville county sc,Greenville County Sheriff's Office,SC,Warrant Service Officer,1.0,automated,False,South Portland ME PD
lancaster county sc,Lancaster County Sheriff's Office,SC,Warrant Service Officer,1.0,automated,False,South Portland ME PD
south dakota division of criminal investigation,South Dakota Division of Criminal Investigation,SD,Task Force Model,1.0,automated,False,South Portland ME PD
montgomery county tn,Montgomery County Sheriff's Office,TN,Warrant Service Officer,1.0,automated,False,South Portland ME PD
shelby county tn,Shelby County Sheriff's Office,TN,Warrant Service Officer,1.0,automated,False,South Portland ME PD
austin county tx,Austin County Sheriff's Office,TX,Warrant Service Officer,1.0,automated,False,South Portland ME PD
carson county tx,Carson County Sheriff's Office,TX,Warrant Service Officer,1.0,automated,False,South Portland ME PD
holland tx,Holland Police Department,TX,Task Force Model,1.0,automated,False,South Portland ME PD
kendall county tx,Kendall County Sheriff's Office,TX,Warrant Service Officer,1.0,automated,False,South Portland ME PD
paris tx,Paris Police Department,TX,Task Force Model,1.0,automated,False,South Portland ME PD
loudoun county va,Loudoun County Sheriff's Office,VA,Warrant Service Officer,1.0,automated,False,South Portland ME PD
village of clearview wv,Village of Clearview Police Department,WV,Task Force Model,1.0,automated,False,South Portland ME PD
