original_org_name,state,networks_im_sharing
Carroll County GA SO,GA,South Portland ME PD
OH - Butler County SO,OH,South Portland ME PD
Melrose MA PD,MA,South Portland ME PD
Huntington County IN SO,IN,South Portland ME PD
Woodhaven MI PD,MI,South Portland ME PD
Kendall County TX SO,TX,South Portland ME PD
Lincoln County SO NE,NE,South Portland ME PD
Knox County IL SO,IL,South Portland ME PD
Othello WA PD,WA,South Portland ME PD
Orting WA PD,WA,South Portland ME PD
Metropolitan Washington Airports Authority VA,VA,South Portland ME PD
Herrin IL PD,IL,South Portland ME PD
Juab County UT SO,UT,South Portland ME PD
Cartersville GA PD,GA,South Portland ME PD
Clinton CT PD,CT,South Portland ME PD
Elkton MD PD,MD,South Portland ME PD
Longport NJ PD,NJ,South Portland ME PD
Morgan County AL SO,AL,South Portland ME PD
OH- Springfield Township PD (Hamilton Co),OH,South Portland ME PD
Vernon Parish LA SO,LA,South Portland ME PD
Wichita Falls TX PD,TX,South Portland ME PD
Georgia Dept. of Corrections Intelligence Unit (GA),GA,South Portland ME PD
Pembroke Pines FL PD,FL,South Portland ME PD
Redding CT PD,CT,South Portland ME PD
Prince William County VA PD,VA,South Portland ME PD
O'Fallon MO PD,MO,South Portland ME PD
Bellingham MA PD,MA,South Portland ME PD
Lavon TX PD,TX,South Portland ME PD
Sullivan County NY SO,NY,South Portland ME PD
Sauk Village IL PD,IL,South Portland ME PD
Dickson TN PD,TN,South Portland ME PD
Struthers OH PD,OH,South Portland ME PD
Erwin NC PD,NC,South Portland ME PD
North Ridgeville OH PD,OH,South Portland ME PD
Adrian MI PD,MI,South Portland ME PD
Selma NC PD,NC,South Portland ME PD
Greenville County SC SO,SC,South Portland ME PD
Rapides Parish LA SO,LA,South Portland ME PD
Medway MA PD,MA,South Portland ME PD
Jefferson County MO SO,MO,South Portland ME PD
Acworth GA PD,GA,South Portland ME PD
Milford CT PD,CT,South Portland ME PD
Logan Township PA PD,PA,South Portland ME PD
Kill Devil Hills NC PD,NC,South Portland ME PD
Hudson NH PD,NH,South Portland ME PD
Wilmington MA PD,MA,South Portland ME PD
Alvin TX PD,TX,South Portland ME PD
Newport RI PD,RI,South Portland ME PD
Round Rock TX PD,TX,South Portland ME PD
Indiana State Police IN PD,IN,South Portland ME PD
Agawam MA PD,MA,South Portland ME PD
Tooele City PD UT,UT,South Portland ME PD
Boynton Beach FL PD,FL,South Portland ME PD
Casa Grande AZ PD,AZ,South Portland ME PD
Warner Robins GA PD,GA,South Portland ME PD
York ME PD,ME,"South Portland ME PD,South Portland ME PD (Flex)"
Montville CT PD,CT,South Portland ME PD
Gratiot County MI SO,MI,South Portland ME PD
Wakefield MA PD,MA,South Portland ME PD
Stillwater MN PD,MN,South Portland ME PD
Wilmette IL PD,IL,South Portland ME PD
Plainville MA PD,MA,South Portland ME PD
Woodson Terrace MO PD,MO,South Portland ME PD
Texas Financial Crimes Intelligence Center,,South Portland ME PD
Scotch Plains NJ PD,NJ,South Portland ME PD
Crisp County GA SO,GA,South Portland ME PD
Wheeler County NE SO,NE,South Portland ME PD
Las Vegas NM PD,NM,South Portland ME PD
Bartow County GA SO,GA,South Portland ME PD
Washoe County NV SO,NV,South Portland ME PD
Hope Mills NC PD,NC,South Portland ME PD
Jackson County GA SO,GA,South Portland ME PD
Pennsylvania State PD,,South Portland ME PD
Kansas City MO PD,MO,South Portland ME PD
Shreveport LA PD,LA,South Portland ME PD
Massachusetts Department of Correction,,South Portland ME PD
Blakely PA PD,PA,South Portland ME PD
Town of Groton CT PD,CT,South Portland ME PD
North Attleboro MA PD,MA,South Portland ME PD
Perth Amboy NJ PD,NJ,South Portland ME PD
Northampton County PA DA,PA,South Portland ME PD
Westwood MA PD,MA,South Portland ME PD
Marple Twp PA PD,PA,South Portland ME PD
Peabody MA PD,MA,South Portland ME PD
Durango CO PD,CO,South Portland ME PD
Cullman County AL SO,AL,South Portland ME PD
Griffith IN PD,IN,South Portland ME PD
Rockmart GA PD,GA,South Portland ME PD
Seal Beach CA PD,CA,South Portland ME PD
St Mary Parish LA SO,LA,South Portland ME PD
Neshkoro WI PD,WI,South Portland ME PD
Bixby OK PD,OK,South Portland ME PD
White House TN PD,TN,South Portland ME PD
Carson County TX SO,TX,South Portland ME PD
Cabot AR PD,AR,South Portland ME PD
Fort Collins Police Services (FCPS),,South Portland ME PD
El Cajon CA PD,CA,South Portland ME PD
Marion Health PD (IN),IN,South Portland ME PD
Vernon County WI SO,WI,South Portland ME PD
Raleigh NC PD,NC,South Portland ME PD
Texas Department of Criminal Justice,,South Portland ME PD
Maryland Heights MO PD,MO,South Portland ME PD
Washington County WI SO,WI,South Portland ME PD
Germantown TN PD,TN,South Portland ME PD
Republic MO PD,MO,South Portland ME PD
Kennesaw State University GA PD,GA,South Portland ME PD
Maiden NC PD,NC,South Portland ME PD
Henry County IL SO,IL,South Portland ME PD
Kaysville UT PD,UT,South Portland ME PD
Summerset SD PD,SD,South Portland ME PD
City of Sierra Vista AZ,AZ,South Portland ME PD
Seminole County FL SO,FL,South Portland ME PD
Glencoe IL PD,IL,South Portland ME PD
Chanute KS PD,KS,South Portland ME PD
Sheridan AR PD,AR,South Portland ME PD
New Hanover County NC SO,NC,South Portland ME PD
Lea County NM SO,NM,South Portland ME PD
Middle Tennessee State TN PD,TN,South Portland ME PD
Calhoun County SC SO,SC,South Portland ME PD
Bay St. Louis MS PD,MS,South Portland ME PD
Adams County IL SO,IL,South Portland ME PD
Prescott AZ PD,AZ,South Portland ME PD
Pinellas Park FL PD,FL,South Portland ME PD
Covington GA PD,GA,South Portland ME PD
Norwood MA PD,MA,South Portland ME PD
Rock County WI SO,WI,South Portland ME PD
Grandview MO PD,MO,South Portland ME PD
Morris IL PD,IL,South Portland ME PD
Wichita KS PD,KS,South Portland ME PD
Byron GA PD,GA,South Portland ME PD
Cherokee County GA DA,GA,South Portland ME PD
Lexington KY PD,KY,South Portland ME PD
Springfield MO PD,MO,South Portland ME PD
Coffeyville KS PD,KS,South Portland ME PD
Slinger WI PD,WI,South Portland ME PD
Sauk Prairie WI PD,WI,South Portland ME PD
Eau Claire County WI SO,WI,South Portland ME PD
Cape Girardeau MO PD,MO,South Portland ME PD
Pembroke NC PD,NC,South Portland ME PD
Rogers AR PD,AR,South Portland ME PD
Orange Beach AL PD,AL,South Portland ME PD
Whiteville NC PD,NC,South Portland ME PD
Person County NC SO,NC,South Portland ME PD
South Carolina Law Enforcement Division - SLED,,South Portland ME PD
Mahanoy City PD (PA),PA,South Portland ME PD
Warren NJ PD,NJ,South Portland ME PD
Dearborn MI PD,MI,South Portland ME PD
Cedar County IA SO,IA,South Portland ME PD
Missouri Information Analysis Center,,South Portland ME PD
Aurora IL PD,IL,South Portland ME PD
Wabaunsee County SO (KS),KS,South Portland ME PD
Oxford PD - OH,OH,South Portland ME PD
Menomonee Falls WI PD,WI,South Portland ME PD
Missouri Department of Conservation,,South Portland ME PD
Springfield MA PD,MA,South Portland ME PD
Harrisonville MO PD,MO,South Portland ME PD
Sherwood AR PD,AR,South Portland ME PD
Vestavia Hills AL PD,AL,South Portland ME PD
Raytown MO PD,MO,South Portland ME PD
Pawnee County KS SO,KS,South Portland ME PD
Ankeny IA PD,IA,South Portland ME PD
Fairmount IN PD,IN,South Portland ME PD
AR - Alma PD,AR,South Portland ME PD
Sheboygan WI PD,WI,South Portland ME PD
Clayton DE PD,DE,South Portland ME PD
Blount County Commission (AL),AL,South Portland ME PD
Hartsville SC PD,SC,South Portland ME PD
Springfield FL PD,FL,South Portland ME PD
Albion MI DPS,MI,South Portland ME PD
Shelby County AL SO,AL,South Portland ME PD
Goose Creek SC PD,SC,South Portland ME PD
Clovis NM PD,NM,South Portland ME PD
Henderson KY PD,KY,South Portland ME PD
McDonough County IL SO,IL,South Portland ME PD
Friendswood TX PD,TX,South Portland ME PD
Brownsburg IN PD,IN,South Portland ME PD
New Haven IN PD,IN,South Portland ME PD
Burlington NC PD,NC,South Portland ME PD
Ohio State Highway Patrol,,South Portland ME PD
Clover SC PD,SC,South Portland ME PD
West Virginia Fusion Center (WV),WV,South Portland ME PD
Powell OH PD,OH,South Portland ME PD
Tulsa County OK SO,OK,South Portland ME PD
Flora- IL - PD,IL,South Portland ME PD
Webster MA PD,MA,South Portland ME PD
Crowley TX PD,TX,South Portland ME PD
Hinckley IL PD,IL,South Portland ME PD
Harlan County NE SO,NE,South Portland ME PD
Wright Township PD (Luzerne County) PA PD,PA,South Portland ME PD
Ipswich MA PD,MA,South Portland ME PD
